City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
373,Siavonga,ZM,78.73,-16.5382,28.7088,Lavongora Waterfront Lodge
374,La Plaine,DM,78.22,15.3333,-61.25,Citrus Creek Plantation
378,Bambous Virieux,MU,70.21,-20.3428,57.7575,Casa Tia Villa
380,Urucara,BR,78.13,-2.5364,-57.76,Pousada Maria Bonita
383,Utinga,BR,79.65,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
385,Mount Darwin,ZW,70.45,-16.7725,31.5838,
392,Adur,IN,76.06,9.1667,76.7333,Wyte Portico Hotel
396,Kutum,SD,72.03,14.2,24.6667,Dibbo areaمنطقة دبو
400,Canchungo,GW,77.07,12.0672,-16.0333,Aparthotel Napalach
401,Redencao,BR,79.79,-4.2258,-38.7306,Hotel Fazenda Boa Vista
406,Hobyo,SO,78.89,5.3505,48.5268,Halane Hotel and Restaurent
408,Rincon De La Victoria,ES,71.67,36.7172,-4.2758,Hotel Elimar
410,Tabou,CI,75.87,4.423,-7.3528,hotêl doufoulougou
413,Meulaboh,ID,79.29,4.1363,96.1285,Kost Pria
416,Mozarlandia,BR,76.35,-14.7447,-50.5706,Hotel Santa Mônica
418,Flinders,AU,72.18,-34.5833,150.8552,Shellharbour Resort & Conference Centre
421,Puerto Escondido,MX,79.92,15.85,-97.0667,Aldea del Bazar Hotel and Spa
422,Puerto Ayacucho,VE,76.91,5.6639,-67.6236,Posada Turistica Manapiare
424,Madimba,TZ,75.42,-10.4,40.3333,
427,Victor Harbor,AU,72.19,-35.5667,138.6167,McCracken Country Club
428,Ponta Do Sol,PT,71.71,32.6667,-17.1,Hotel do Campo
433,Vao,NC,71.91,-22.6667,167.4833,Hotel Kou-Bugny
441,Naze,JP,76.12,28.3667,129.4833,オーベルジュ・アガルイ
449,Almeirim,BR,76.41,-1.5233,-52.5817,Ricácio Hotel
450,Forbes,AU,75.92,-33.3833,148.0167,Lake Forbes Motel
455,Inongo,CD,71.26,-1.95,18.2667,Hotel Du Lac
459,Nikki,BJ,73.58,9.9401,3.2108,Hotel John
461,Sur,OM,79.66,22.5667,59.5289,Sur Plaza Hotel
464,Libreville,GA,75.22,0.3925,9.4537,Hotel Re-Ndama
466,Luba,GQ,73.29,3.4568,8.5547,
467,Pitiquito,MX,71.38,30.7,-112.0833,La Víspera
473,Sokoni,TZ,77.29,-6.4333,39.55,Ujamaa Beach Resort
474,Cabedelo,BR,79.47,-6.9811,-34.8339,Hotel Pigalle
478,Santa Ines,BR,76.17,-3.6667,-45.38,Palace hotel
482,Jieshi,CN,74.95,22.8134,115.8257,Yuehai Hotel
486,Funtua,NG,73.0,11.5233,7.3081,Sani Jikan Mallam Hotel
490,Harper,LR,76.68,4.375,-7.7169,Screensaver
500,Sao Joao Da Barra,BR,71.06,-21.6403,-41.0511,Pousada Porto De Canoas
501,Santo Antonio Do Ica,BR,75.22,-3.1022,-67.9397,HOTEL AMAZON WAY
504,Safford,US,72.52,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
512,Lamas,PE,72.07,-6.4167,-76.5333,Peru Selva Tarapoto Lamas Linda
521,Guanica,PR,78.91,17.9716,-66.908,Copamarina Beach Resort & Spa
531,Mamallapuram,IN,78.85,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
533,Tete,MZ,75.56,-16.1564,33.5867,Zambeze Paraíso Misterioso
535,Praya,CV,73.94,14.9215,-23.5087,LT Aparthotel
537,Chum Phae,TH,77.29,16.5443,102.0992,Major Grand
539,Mogadishu,SO,78.57,2.0371,45.3438,Hotel Juba
548,Bonthe,SL,74.57,7.5264,-12.505,Bonthe Holiday Village
549,Coari,BR,77.88,-4.085,-63.1414,HOTEL ALEX FLAT
551,Igunga,TZ,74.73,-4.2833,33.8833,Victoria Lodge
553,Am Timan,TD,76.3,11.0297,20.2827,Palais du chef Canton Salamt
556,Bara,NG,75.2,10.3744,10.7288,
560,Hambantota,LK,73.74,6.1241,81.1185,Bungalow 63
569,Karoi,ZW,70.72,-16.8099,29.6925,Chikangwe Guest houses
570,Akhmim,EG,73.6,26.5622,31.745,برج الماسة السكني
575,Ponta Delgada,PT,74.5,37.7333,-25.6667,Vila Nova Hotel
580,Ipira,BR,71.37,-12.1583,-39.7372,Pallace Hotel e Restaurante
587,Boca Do Acre,BR,78.3,-8.7522,-67.3978,Hotel Sao Pedro
